                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.84001,                0.79598,                0.98864,                 0.5829,                0.45045,                0.46287,                0.32619,                  1.176,                 1.4922,                 1.1832,             0.00038355,             0.00038355,             0.00038355
                    112,                0.83666,                0.81451,                0.99725,                0.58427,                0.43993,                0.46101,                0.32295,                 1.1722,                 1.4822,                 1.1774,             0.00037943,             0.00037943,             0.00037943
                    113,                0.85238,                0.81763,                0.99656,                0.54251,                0.47881,                0.46985,                0.33013,                 1.1754,                 1.4947,                  1.187,             0.00037531,             0.00037531,             0.00037531
                    114,                0.83578,                0.80599,                0.99192,                0.54713,                0.46227,                0.46325,                0.32235,                 1.1723,                 1.4953,                 1.1854,             0.00037118,             0.00037118,             0.00037118
                    115,                0.83663,                0.80111,                0.98812,                 0.5491,                0.45358,                0.45929,                 0.3264,                 1.1683,                 1.4987,                 1.1844,             0.00036706,             0.00036706,             0.00036706
                    116,                0.82816,                 0.7849,                 0.9865,                0.52155,                0.47005,                0.45159,                0.31807,                 1.1708,                  1.499,                 1.1838,             0.00036294,             0.00036294,             0.00036294
                    117,                0.82126,                0.77443,                0.98645,                0.55053,                0.44777,                  0.456,                0.31996,                 1.1721,                 1.5068,                 1.1863,             0.00035881,             0.00035881,             0.00035881
                    118,                0.82272,                0.77215,                0.98174,                0.52701,                0.48306,                0.46207,                0.32511,                  1.167,                 1.4787,                 1.1876,             0.00035469,             0.00035469,             0.00035469
                    119,                  0.818,                0.77477,                0.98604,                0.54915,                0.46167,                0.45279,                0.32119,                 1.1825,                 1.4976,                 1.1978,             0.00035057,             0.00035057,             0.00035057
                    120,                0.80854,                0.75448,                 0.9772,                0.51571,                0.48156,                0.45864,                0.32391,                 1.1711,                 1.5124,                 1.1861,             0.00034644,             0.00034644,             0.00034644
                    121,                0.81217,                0.76646,                0.97926,                0.55644,                0.44041,                0.45521,                0.32218,                 1.1758,                 1.4996,                 1.1884,             0.00034232,             0.00034232,             0.00034232
                    122,                0.80659,                0.76627,                0.98012,                0.54232,                0.46455,                0.46085,                0.32492,                 1.1833,                 1.5229,                 1.1935,              0.0003382,              0.0003382,              0.0003382
                    123,                0.80743,                0.74621,                0.98027,                0.59159,                0.44651,                0.46643,                0.32876,                 1.1718,                 1.5109,                  1.194,             0.00033407,             0.00033407,             0.00033407
                    124,                0.80195,                0.74819,                0.98074,                0.55385,                0.47486,                0.46459,                   0.33,                 1.1855,                 1.5044,                 1.1962,             0.00032995,             0.00032995,             0.00032995
                    125,                0.80688,                  0.749,                0.97532,                0.52003,                0.48247,                0.45503,                0.32084,                 1.1812,                 1.5033,                 1.1964,             0.00032583,             0.00032583,             0.00032583
                    126,                0.80519,                0.74102,                 0.9708,                0.57426,                 0.4597,                0.46954,                 0.3313,                 1.1799,                 1.4944,                 1.1982,              0.0003217,              0.0003217,              0.0003217
                    127,                0.79244,                 0.7311,                 0.9768,                0.54394,                0.47631,                0.45323,                0.31858,                 1.1792,                 1.5126,                 1.2021,             0.00031758,             0.00031758,             0.00031758
                    128,                0.79005,                0.72983,                0.97503,                0.55378,                  0.461,                0.46597,                0.32827,                 1.1847,                 1.5111,                 1.2037,             0.00031346,             0.00031346,             0.00031346
                    129,                0.78006,                0.72171,                0.97098,                0.54661,                0.45579,                0.46055,                0.32615,                 1.1792,                 1.5206,                 1.2013,             0.00030933,             0.00030933,             0.00030933
